ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,CO2 EMISSIONS
2.4,4,9.4,192
3.5,6,12.6,259
3.5,6,12.2,251
3,6,9.1,210
3.5,6,11.1,261
3.5,6,12.4,250
3.5,6,8.2,190
2.4,4,9.6,197
3.5,6,11.2,226
1.8,4,9.7,197
1.8,4,9.7,197
2,4,10,205
2,4,10.5,217
2.9,6,13.8,280
5.2,12,15.5,322
6,12,16.7,331
6,12,17.5,345
6,12,19.4,388
6,12,23.2,450
2,4,9.1,188
2,4,9.7,205
2,4,10.8,223
2,4,8.6,177
2,4,9.8,205
2,4,9.9,204
2,4,10.2,217
2,4,11,226
2,4,10.4,210
2,4,11.3,231
2,4,10.9,220
3,6,11.5,238
3,6,11.5,238
3,6,12.6,246
4,8,12.9,249
4,8,13.1,255
2,4,11.9,243
2,4,11.9,241
2,4,12,246
3,6,13.2,267
2,4,11.9,253
3,6,12.6,260
5.2,10,16.5,330
5.2,10,16.5,330
4,8,16.2,309
2,4,11,232
3,6,13,259
3,6,13.8,273
3,6,13.3,266
4,8,13.3,263
4,8,13.4,265
4,8,16.2,312
3,6,14.1,285
2,4,10.1,209
2,4,10.1,209
2,4,10.3,222
6,12,18.8,370
4,8,15.5,295
6,12,18.9,360
4,8,17,321
6,12,19.6,375
4,8,17,321
6,12,19.6,375
6.8,8,21.3,407
6.8,8,22.2,430
2,4,10,207
2,4,9.8,197
2,4,11.1,219
2,4,10.5,213
2,4,10.2,210
2,4,10,200
2,4,10.2,202
2,4,10.3,206
2,4,7.9,189
2,4,7.9,189
2,4,10.5,213
2,4,10.5,213
2,4,10.5,213
3,6,11.1,224
3,6,12.2,242
3,6,11.4,228
3,6,12.2,246
3,6,11.9,238
2,4,10.6,211
2,4,10.5,213
2,4,10.5,213
3,6,11.1,224
3,6,12.2,242
3,6,11.9,238
3,6,11.4,228
3,6,12.2,246
3,6,11.4,228
2,4,10.5,213
3,6,11.4,228
3,6,12.4,249
3,6,12.4,249
4.4,8,14.7,292
4.4,8,13.8,273
4.4,8,14.7,292
3,6,11.9,238
4.4,8,13.8,273
4.4,8,14.7,292
4.4,8,14.7,292
4.4,8,14.7,292
3,6,11.8,245
3,6,13.1,267
3,6,11.1,224
3,6,12.2,242
3,6,11.1,224
3,6,12.5,250
3,6,11.4,228
3,6,11.4,228
3,6,14,284
3,6,13.7,273
3,6,14.1,283
3,6,13.7,273
3,6,14,284
3,6,13.7,273
4.4,8,17.2,343
4.4,8,16.2,324
4.4,8,17.2,343
4.4,8,16.2,324
4.4,8,17.2,343
4.4,8,16.2,324
6.6,12,17.7,355
2,4,10.5,213
2,4,8.7,211
2,4,11.1,233
3,6,12.7,260
3,6,12.7,260
2,4,11.8,240
4.4,8,16.6,341
3,6,10.3,249
3,6,13,270
4.4,8,15.6,320
4.4,8,16.6,341
3,6,13,270
4.4,8,15.6,320
3.6,6,15.7,315
3.6,6,16,322
1.4,4,9.3,194
1.4,4,8.6,185
1.4,4,9.8,208
1.4,4,8.9,196
2,4,11.8,248
2.5,4,11.1,232
3.6,6,11.2,224
3.6,6,11.6,235
2,4,11.5,233
2,4,12.1,250
2.4,4,11.3,226
2,4,10.6,217
2,4,11.8,236
2.5,4,10.7,216
3.6,6,11.6,234
2,4,10.8,222
3.6,6,12.2,248
3.6,6,13.9,279
3.6,6,14.4,295
2,4,11,223
3,6,13,263
3.6,6,12.8,259
2,4,11,223
3.6,6,11.6,234
2,4,11.2,229
3.6,6,12.2,248
3.6,6,15,299
6.2,8,16.5,329
6.2,8,16.1,331
3.6,6,12.1,245
3.6,6,12.9,260
3.6,6,13.2,260
3.6,6,13.7,272
3.6,6,15,299
2,4,10.9,222
2,4,11.9,236
3.6,6,12.3,249
3.6,6,14.4,274
6.2,8,14.2,273
6.2,8,14.3,284
6.2,8,19,367
6.2,8,17.2,349
2,4,9.8,220
2.5,4,12,252
2.5,4,12.2,254
2.8,4,10.8,255
3.6,6,13.4,274
2.5,4,12.7,263
2.8,4,12.1,280
3.6,6,14,286
2.8,4,12.5,315
3.6,6,15,331
6.2,8,15.2,290
6.2,8,14.2,278
6.2,8,17.6,336
6.2,8,15.6,312
1.4,4,7.9,165
1.4,4,8.3,170
1.4,4,8.1,169
1.4,4,8.1,172
1.4,4,8.3,173
1.4,4,8.4,176
1.6,4,7.6,172
1.6,4,7.7,169
2.4,4,11,221
2.4,4,11,221
2.4,4,15.6,223
3.6,6,14.1,285
2.4,4,11.5,237
2.4,4,11.5,237
2.4,4,16.3,234
3.6,6,15,304
6,8,21.8,438
6,8,22.3,445
2.5,4,10.9,224
3.6,6,12.5,249
3.6,6,17,240
1.5,4,8.8,182
2,4,10.7,212
1.8,4,4.8,121
5.3,8,14.6,297
5.3,8,15.2,309
6.2,8,15.9,324
4.3,6,13.4,279
4.3,6,19.3,284
5.3,8,14.6,298
5.3,8,19.7,284
5.3,8,15,307
5.3,8,15.9,327
6.2,8,16,330
4.3,6,14.1,294
4.3,6,20.2,294
5.3,8,15,307
5.3,8,20.7,315
5.3,8,14.4,303
1.4,4,8.8,184
1.4,4,8.4,174
1.8,4,9.7,197
1.8,4,9.2,194
1.4,4,8.8,184
1.4,4,8.4,174
1.8,4,9.7,197
1.8,4,9.2,194
1.4,4,7.8,167
1.4,4,8,168
5.3,8,15.1,305
5.3,8,15.1,305
5.3,8,20,284
5.3,8,15.4,312
5.3,8,15.4,312
5.3,8,22.1,317
5.3,8,15.1,305
5.3,8,15.1,305
5.3,8,20,284
5.3,8,15.2,310
5.3,8,15.2,310
5.3,8,20.8,299
3.6,6,15.7,315
3.6,6,16,322
1.4,4,9.3,194
1.4,4,9.2,194
1.4,4,9.8,208
2.4,4,10.2,201
2.4,4,13.9,192
3.6,6,12.4,241
3.6,6,16.8,230
3.6,6,12.8,252
3.6,6,17.1,237
3.6,6,12.4,242
5.7,8,14.7,289
3.6,6,12.8,258
3.6,6,12.8,258
3.6,6,17.6,248
3.6,6,12.9,257
3.6,6,12.4,249
3.6,6,12.4,242
5.7,8,15.6,307
6.4,8,16.7,325
5.7,8,14.7,289
6.4,8,15.6,302
3.6,6,12.8,258
6.4,8,16.7,325
6.4,8,15.6,302
6.2,8,17.6,339
6.2,8,18.1,352
3.6,6,13.7,271
3.6,6,12.4,242
5.7,8,15.6,302
5.7,8,14.7,289
6.4,8,15.6,302
3.6,6,12.8,258
3.6,6,12.8,258
3.6,6,17.6,248
5.7,8,16,312
6.4,8,15.6,302
6.2,8,17.6,339
3.6,6,12.7,265
5.7,8,16.6,328
3.6,6,13.7,276
3.6,6,19.4,274
2.4,4,12.7,261
3.6,6,14.2,284
3.6,6,19.1,274
3.6,6,14.5,292
8.4,10,19.9,387
1.4,4,9.3,187
1.4,4,9,185
1.4,4,8.7,186
1.4,4,8,171
1.4,4,8.7,186
1.4,4,7.7,163
1.4,4,9.7,202
1.4,4,8.5,186
1.4,4,9.7,202
1.4,4,8.5,186
1.4,4,10.7,221
1.4,4,9.5,197
2.4,4,10.7,219
2.4,4,11,226
2,4,5.7,138
2,4,11.5,233
2,4,11.3,230
3.5,6,13.5,270
2,4,11.9,244
2.7,6,13.8,281
3.5,6,13.9,284
1.5,4,10.2,214
2,4,10.6,222
2.5,4,11.1,229
2.5,4,15.2,219
1.5,4,10.7,226
2,4,11.5,239
3.5,6,15.9,333
3.5,6,16.1,337
2.3,4,12.6,254
3.5,6,13.9,281
3.5,6,18.7,264
2.3,4,13.1,266
3.5,6,14.8,305
3.5,6,14.4,296
3.5,6,19.6,284
2.7,6,12.2,256
2.7,6,12.4,263
2.7,6,13.1,272
3.5,6,12.7,264
3.5,6,13,274
3.5,6,13.8,290
3.5,6,13.2,272
3.5,6,17.9,258
5,8,15.4,310
5,8,20.5,291
5,8,16.8,340
5,8,20.5,291
2.7,6,13.1,276
2.7,6,13.5,293
2.7,6,13.3,288
3.5,6,13.6,284
3.5,6,13.6,288
3.5,6,14,298
3.5,6,14,293
3.5,6,19,281
5,8,15.9,323
5,8,21.5,305
5,8,16,330
5,8,21.5,306
5,8,16.8,347
5,8,22.2,326
3.5,6,15.6,339
1.6,4,8.6,178
1.6,4,8.6,182
1,3,7.6,158
1.6,4,9,192
3.5,6,14.7,298
3.5,6,14.7,303
3.5,6,15.7,321
1,3,8.5,176
1,3,7.9,164
2,4,9.1,185
2,4,12.2,177
2,4,9.2,189
2,4,12.4,182
2,4,9.5,195
2,4,12.9,188
2.3,4,12.2,256
2,4,10.5,219
1.5,4,10,204
2,4,11.2,225
2.5,4,11.3,224
2,4,11.8,238
2.7,6,13.5,270
2,4,5.5,131
3.5,6,20.6,406
2.3,4,11,226
2.3,4,11.8,239
2.3,4,11.2,230
2.3,4,11.2,230
3.7,6,12.8,259
3.7,6,13.8,271
5,8,15.6,303
5,8,15.8,307
5,8,16.7,324
2.3,4,11.8,239
2.3,4,11.2,237
5,8,15.5,309
5,8,16.7,324
5.2,8,17.2,341
3.5,6,16.2,344
3.7,6,16.7,354
3.7,6,23,343
2,4,11.8,238
3.5,6,13.1,260
3.5,6,17.6,249
3.5,6,14.7,293
3.5,6,13.6,291
3.5,6,18.7,271
2.5,4,11.9,244
2.5,4,16.1,234
2.5,4,12.4,253
2.5,4,16.8,242
3.8,6,14.3,286
5,8,17.2,332
3.3,6,13.7,279
5,8,15.2,306
2.5,4,11,239
3.6,6,13,265
2.5,4,11.2,243
3.6,6,13.3,271
2.5,4,12,252
2.5,4,12.2,254
2.8,4,10.8,255
3.6,6,13.4,274
2.5,4,12.7,263
2.8,4,12.1,280
3.6,6,14,286
6,8,21.8,438
6,8,22.3,445
5.3,8,14.6,297
5.3,8,15.2,309
6.2,8,15.9,323
4.3,6,13.4,279
4.3,6,19.3,284
5.3,8,14.6,298
5.3,8,19.7,284
5.3,8,15,307
5.3,8,15.9,327
6.2,8,16,330
4.3,6,14.1,294
4.3,6,20.3,294
5.3,8,15,307
5.3,8,20.7,317
5.3,8,14.4,303
2.4,4,11,221
2.4,4,11,221
2.4,4,15.6,223
3.6,6,14.1,285
2.4,4,11.5,237
3.6,6,15,304
5.3,8,15.1,305
5.3,8,15.1,305
5.3,8,20,284
5.3,8,15.2,310
5.3,8,15.2,310
5.3,8,20.8,299
6.2,8,16,330
5.3,8,15.1,305
5.3,8,15.1,305
5.3,8,20,284
5.3,8,15.4,312
5.3,8,15.4,312
5.3,8,22.1,317
6.2,8,16.3,333
2.4,4,9.2,190
2.4,4,10.4,210
3.5,6,11.4,225
3.5,6,12.9,254
2.4,4,8.7,180
3.5,6,11.4,223
2,4,4.9,114
1.5,4,7.5,158
1.5,4,7.7,159
2,4,7.8,163
2,4,8.5,173
1.5,4,7.4,153
2,4,7.8,163
2,4,8.5,172
1.5,4,7.7,162
1.5,4,7.9,170
1.5,4,7.9,170
1.5,4,8,167
1.5,4,8,167
1.5,4,8.4,181
1.5,4,8.7,188
1.5,4,7,154
1.5,4,7.6,164
1.5,4,8.1,174
1.8,4,8.3,180
1.8,4,8.3,180
1.8,4,9.4,195
1.8,4,8.9,194
1.8,4,8.9,194
3.5,6,12.3,251
3.5,6,12.4,254
3.5,6,13,266
3.5,6,12.4,256
3.5,6,12.8,264
1.6,4,8.9,182
1.6,4,8.8,184
2,4,8.3,174
2,4,9.1,187
2,4,9.8,206
2,4,9.8,204
1.6,4,4.3,103
1.6,4,4.2,96
3.3,6,12.9,265
3.3,6,13,269
2.4,4,11.1,235
2,4,12.5,264
2.4,4,12,253
3.3,6,13.9,295
2,4,10.5,216
2.4,4,9.4,194
2.4,4,10,207
2,4,6.3,143
2,4,6,137
1.6,4,9.9,221
2,4,10.1,213
2,4,11,241
1.6,4,8.3,180
1.6,4,8.9,188
1.6,4,8.9,193
1.6,4,9.4,200
2,4,10.7,226
3,6,12.6,256
3,6,12.3,257
3.5,6,9.1,200
2,4,11.2,233
3,6,12.4,253
3,6,12.5,259
3.7,6,13.2,274
5.6,8,14.9,300
3.5,6,8.4,184
2,4,9.7,200
2,4,10.6,221
3.7,6,13.7,280
3.5,6,11.9,246
3.5,6,12.5,257
2.5,4,9.5,214
3.7,6,14.5,301
5.6,8,17.4,355
3,6,13.3,277
3,6,11.9,242
3,6,14.9,296
3,6,11.9,242
3,6,14.9,296
5,8,15.6,311
5,8,15.6,311
3,6,12.4,253
3,6,15.3,302
3,6,13,265
3,6,12.4,253
3,6,15.3,302
3,6,13,265
2,4,7.8,186
3,6,11.8,238
2,4,7.8,186
3,6,12,243
3,6,14,276
3,6,14,280
5,8,15.8,313
5,8,15.8,313
2.4,4,11,225
3.2,6,11.4,234
2.4,4,11.3,235
3.2,6,11.6,241
2.4,4,11.4,240
3.2,6,12.8,259
2.4,4,12.1,256
3.2,6,12.9,269
2,4,10.8,235
2,4,10.3,216
2.4,4,11.3,238
2.4,4,10.2,219
2.4,4,11.7,249
2.4,4,11.7,259
2.4,4,10.6,230
3.6,6,12.7,265
5.7,8,16.6,328
6.4,8,18.3,368
2.4,4,10.6,218
2.4,4,10.4,211
2.4,4,10.8,222
2.4,4,10.8,221
2,4,10.8,235
2,4,10.3,216
2.4,4,11.3,238
2.4,4,10.2,219
2.4,4,11.7,249
2.4,4,11.7,259
2.4,4,10.6,230
1.4,4,9.9,209
2.4,4,10.8,222
2.4,4,14.4,206
1.4,4,9.9,211
2.4,4,11.2,230
3.6,6,14.1,299
3.6,6,14.2,298
3.6,6,14.7,313
3.6,6,15,312
3.3,6,11.5,237
2,4,7.9,170
2,4,9.4,198
2,4,9.4,195
1.6,4,9.4,207
2,4,9.7,197
2,4,9.8,204
1.6,4,9.6,204
1.6,4,10.1,216
2,4,9.6,203
2,4,9.9,209
3.8,6,13.8,279
5,8,15.6,317
1.6,4,4.6,114
1.6,4,4.5,110
1.6,4,5.1,129
2.4,4,9.6,198
2.4,4,9.3,190
2,4,10.9,224
2,4,6,132
1.6,4,8.8,181
1.6,4,8.8,181
2,4,9.9,210
3.3,6,13.2,275
3.3,6,12.9,269
3.3,6,14.1,296
2.4,4,11.2,234
2,4,12.3,259
2.4,4,11.5,246
3.3,6,14,289
3.3,6,13.2,270
1.6,4,9.4,205
1.6,4,9.7,208
2,4,9.5,206
1.6,4,9.1,199
2.4,4,10.4,220
2,4,11.9,263
2.4,4,11.3,247
6.5,12,22.2,428
6.5,12,23.9,461
6.5,12,23,438
6.5,12,23.9,461
5.2,10,16.4,331
5.2,10,16.9,340
2,4,12,252
2,4,11.3,231
2,4,12,243
1.8,4,5.5,132
2.5,4,5.8,139
3.5,6,11.4,226
3.5,6,12.4,257
3.5,6,8,176
5,8,14.9,293
4.6,8,16,341
2,4,10.6,214
3.5,6,12.6,258
3.5,6,12.6,258
4.6,8,15.1,303
4.6,8,15.1,303
5.7,8,18.2,372
2,4,10.7,226
2,4,10.8,232
2.5,4,7.2,176
3.5,6,12.6,258
3.5,6,12.6,258
5,8,15.2,289
3.5,6,12.2,252
3.5,6,7.5,185
2.7,6,14,281
3,6,14.4,288
3.7,6,14.3,287
2,4,12.3,256
2,4,12.1,254
2.3,4,13.1,268
3.5,6,15.7,321
3.7,6,14.7,298
2.7,6,14.1,284
3.7,6,14.4,293
2,4,11.2,230
3,6,13.4,264
2,4,11.8,239
3,6,14,278
2,4,5.7,139
3.5,6,15.9,333
3.5,6,16.1,339
3,6,14.1,286
3,6,14.7,293
3,6,14.7,295
4.7,8,18.2,355
4.7,8,18.2,358
3,6,16.8,340
3,6,16.8,346
3.8,8,16.1,321
3,6,14.9,300
3,6,15,301
2,4,8.2,179
2,4,8.8,192
2,4,9.4,199
2.5,4,9.8,204
2.5,4,10.2,221
2.5,4,10.6,225
2.5,4,11.5,242
2,4,8.4,176
2,4,8.5,175
2,4,8.5,175
2.5,4,8.8,182
2.5,4,8.5,176
2.5,4,9.3,194
2,4,8.4,174
2,4,8.6,178
2.5,4,9,183
2.5,4,8.7,181
2.5,4,9.6,198
2.5,4,10.8,226
2.5,4,11.1,230
2.5,4,9.1,187
2.5,4,8.9,186
2.5,4,9.8,196
2,4,9,187
2,4,8.9,190
4,8,13.4,273
4,8,14,291
4,8,13.8,285
4,8,13.4,273
4,8,14,291
4,8,13.8,285
2,4,10.7,221
5.5,8,15.1,308
5.5,8,20,413
6,12,22.2,467
2,4,11.3,233
3,6,17.4,353
3,6,13.6,281
3,6,13.6,281
5.5,8,17.3,363
5.5,8,17.2,363
5.5,8,18.2,369
4,8,14.5,303
4,8,14.5,303
5.5,8,15.7,313
5.5,8,16.4,322
5.5,8,15.3,305
6,12,17.6,349
6,12,17.1,348
6,12,18.7,365
5.5,8,14.7,298
6,12,17.6,340
3,6,11.6,234
2,4,9.7,179
2,4,10.1,212
2,4,10.8,222
2,4,10.4,218
2,4,9.6,190
4.7,8,13.6,275
2,4,10.8,246
3,6,11.5,233
3,6,11.8,239
4.7,8,13.7,275
4.7,8,13.4,268
4,8,19,401
2,4,10.3,212
2,4,13.6,128
2,4,11.1,233
3,6,13.1,276
4.7,8,15.3,318
3,6,14.4,306
4.7,8,16.7,347
6,12,18.2,359
2,4,11.1,240
2,4,11.5,248
3,6,12.6,253
4.7,8,14.3,280
4.7,8,14.3,280
4.7,8,13.9,276
4.7,8,14.1,278
6,12,17.5,350
3,6,11.5,237
4.7,8,13.6,275
2,4,9.5,200
1.5,3,8.8,184
1.5,3,8.5,175
1.5,3,8.8,184
1.5,3,8.5,175
1.5,3,9.5,197
1.5,3,9.6,197
1.5,3,10.2,213
1.5,3,10.6,214
1.5,3,8.8,184
1.5,3,8.5,175
1.5,3,9.5,197
1.5,3,9.6,197
1.5,3,10.3,215
1.5,3,10.6,214
2,4,9.3,196
2,4,10.2,210
2,4,9.3,196
2,4,10.2,210
2,4,10,205
2,4,10.8,220
2,4,10.2,210
2,4,11.4,227
2,4,9.4,196
2,4,10.2,210
2,4,10.5,213
2,4,11.3,227
2,4,9.3,196
2,4,10.2,210
2,4,10.2,210
2,4,11.4,227
2,4,9.4,196
2,4,10.8,220
2,4,8.7,183
2,4,9.7,200
2.4,4,9.9,206
2.4,4,10.5,218
2.4,4,10.2,212
2,4,9.3,194
2,4,9.9,205
1.2,3,6.4,141
1.2,3,7.1,150
1.2,3,6.9,149
1.2,3,7.2,155
2.4,4,9.2,197
2.4,4,9.8,211
3,6,11.9,242
2,4,9.7,204
2,4,10.3,216
2,4,10.1,213
3.7,6,12.6,261
3.7,6,13.3,269
3.7,6,13,270
3.7,6,13.6,278
2.5,4,8.8,176
3.5,6,10.6,214
2.5,4,8.8,183
5.6,8,17.5,362
2.5,4,13.5,286
2.5,4,12.2,268
4,6,14.8,304
4,6,15.8,326
4,6,15.1,317
3.8,6,14.5,300
1.6,4,8.5,189
1.6,4,8.6,188
1.6,4,9,199
1.6,4,9,197
1.6,4,9.5,209
3.5,6,11.1,225
1.6,4,8.9,186
1.6,4,8.7,185
3.5,6,11,230
3.5,6,11.2,232
2,4,9.8,220
3.5,6,11.6,240
3.5,6,12.1,250
3.5,6,12.4,258
2,4,8.8,191
2,4,10,216
2,4,9.1,197
2.5,4,9.2,192
2.5,4,9.6,203
1.6,4,8.9,193
1.6,4,9.1,195
1.8,4,8.1,171
1.8,4,9,187
1.6,4,9.4,205
1.6,4,9.5,204
5.6,8,15,312
5.6,8,15.2,315
5.6,8,16,333
1.6,4,7.6,164
1.6,4,8.6,180
3,6,10.6,221
3,6,11.8,237
3,6,10.8,227
3,6,12,241
3,6,10.8,226
3,6,12.1,242
3,6,10.8,228
3,6,12.1,243
3,6,10.7,225
3,6,12.1,242
3,6,11,230
3,6,12.2,246
3,6,11,232
3,6,12.1,243
3,6,10.9,231
3,6,12.2,246
3,6,10.9,228
3,6,12.2,246
3,6,11.1,233
3,6,12.2,246
3.8,6,12.6,266
3.8,6,12.6,267
3.8,6,12.6,266
3.8,6,12.6,267
2,4,10.5,219
2,4,11,229
2.5,4,11,230
2.5,4,12.1,249
3.6,6,12.9,268
3.6,6,13.6,281
3.6,6,13.9,281
3.6,6,14.5,296
4.8,8,16.7,334
4.8,8,16.7,334
2,4,10.5,219
2,4,11,229
2.5,4,11,230
2.5,4,12.1,249
2,4,11.6,248
3,6,13.7,285
3,6,13.8,287
3.6,6,14.2,287
3.6,6,13.9,280
3.6,6,19.7,283
5.7,8,17,346
5.7,8,15.7,319
3,6,11.8,278
3.6,6,14.5,294
3.6,6,20.7,300
5.7,8,17.5,361
5.7,8,16.1,328
3,6,12.3,289
2.4,4,11.2,232
6.6,12,20,390
6.6,12,20,390
6.6,12,20,390
6.7,12,20.7,400
6.7,12,20.7,400
6.7,12,20.7,400
6.7,12,20.6,401
6.6,12,19,375
0.9,3,7,152
2,4,9.7,200
2,4,11.1,228
2,4,9.1,193
2,4,10.3,216
2,4,10.2,223
2.5,4,9.2,196
2.5,4,10.9,228
2,4,8.3,174
2,4,10,208
2,4,8.4,176
2,4,10.1,211
2.5,4,9.3,194
2.5,4,10.7,222
3.6,6,11.9,241
2.5,4,9.4,198
2.5,4,11,229
3.6,6,12,247
2,4,12.5,255
2,4,11.3,235
2.5,4,13.8,285
4,6,14.3,310
4,6,14.3,310
2,4,9.9,204
2,4,11.3,232
3.5,6,11.4,226
2.5,4,9.8,199
3.5,6,11,224
2.5,4,5.6,137
2.5,4,5.8,141
1.8,4,8.3,174
1.8,4,8.3,178
1.8,4,8.4,176
1.8,4,7.8,163
1.8,4,8,168
1.8,4,8.3,176
1.8,4,8.8,185
3.5,6,11.8,243
3.5,6,12.1,251
3.5,6,12,247
3.5,6,11.7,242
3.5,6,8.1,193
1.8,4,4.4,105
1.5,4,4.9,120
1.8,4,5.5,135
2.5,4,10.3,217
2.5,4,10,210
2.5,4,10.5,222
2.5,4,10.7,226
2.5,4,6.9,170
5.7,8,18.7,380
3.5,6,12.5,255
3.5,6,13.4,274
2.7,4,12.1,263
3.5,6,12.6,268
2.7,4,12.7,274
2.7,4,12.4,279
3.5,6,13.2,283
3.5,6,13.8,301
3.5,6,13.8,300
4.6,8,15.8,334
5.7,8,17.2,358
4.6,8,16.8,349
5.7,8,18.1,378
1.5,4,7.3,155
1.5,4,7.8,164
1.5,4,7.9,173
1.5,4,7.8,168
1.8,4,9.7,199
1.8,4,9.5,198
1.8,4,9.6,201
1.8,4,9.7,199
3.6,6,13.9,277
1.8,4,9.4,192
1.8,4,9.3,190
2,4,9.6,199
2,4,9.7,198
2,4,10.4,216
2,4,10.9,220
1.8,4,10.6,220
1.8,4,9.3,192
1.8,4,9.6,194
1.8,4,10.6,220
1.4,4,8.5,175
1.4,4,8.3,168
1.8,4,9.4,193
2,4,9.8,205
2,4,10.2,208
1.8,4,10.1,204
3.6,6,11.9,242
2,4,11.7,256
2,4,12,263
3.6,6,13.8,287
2,4,9.6,198
2,4,10.7,219
2,4,9.6,198
2,4,10.7,219
2,4,10.9,221
2,4,11.8,241
2,4,10.8,220
2,4,10.1,204
2,4,10.8,219
2,4,9.6,198
2,4,10.7,219
2,4,10.9,221
2,4,11.8,241
2,4,10.8,220
2,4,10.1,204
2,4,10.8,219
2,4,10.7,221
2,4,10.4,216
2,4,11.3,233
2,4,11.7,244
2,4,10.6,232
2,4,10.8,239
2,4,11.5,249
